Individual Goals,Age,Gender,Risk Tolerance,Financial Literacy,Recommended Investment Products
starting a business,72,Female,Medium,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,18,Male,High,1,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
planning a vacation,2,Female,Medium,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
saving for education,69,Female,Medium,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,29,Female,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,27,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,17,Female,High,1,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
starting a business,58,Female,High,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,11,Male,Low,1,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,49,Male,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,72,Female,Medium,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,3,Male,High,2,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
saving for retirement,11,Female,Low,2,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
purchasing for self,57,Male,High,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,50,Female,High,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,15,Male,High,4,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for education,57,Male,High,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,3,Female,High,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
saving for education,60,Male,High,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,39,Male,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,29,Female,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,53,Male,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,67,Male,Medium,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,56,Male,Low,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,75,Male,High,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,79,Male,Medium,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,45,Male,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,79,Female,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,11,Female,Medium,4,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
planning a vacation,5,Female,Medium,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
saving for education,30,Male,Low,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,58,Female,Medium,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,68,Male,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,59,Male,Medium,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,32,Female,High,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,37,Male,Low,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,43,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,60,Male,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,45,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,29,Male,High,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,27,Male,Low,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,27,Male,High,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,29,Male,Low,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,72,Female,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,75,Female,Low,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,78,Female,Low,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,38,Female,Low,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,11,Female,Low,4,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for retirement,74,Male,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,32,Male,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,50,Male,Low,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,40,Male,Medium,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,70,Female,High,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,30,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,22,Male,Low,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,75,Female,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,35,Female,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,68,Male,High,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,63,Female,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,4,Male,Low,3,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
starting a business,49,Male,Low,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,29,Male,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,63,Female,Low,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for education,61,Female,Low,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,26,Female,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,73,Female,Medium,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,50,Female,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,17,Male,High,2,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
saving for retirement,71,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,56,Female,Medium,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,35,Female,High,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,73,Female,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,47,Male,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,48,Female,Low,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,71,Male,Low,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for education,67,Female,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,71,Male,High,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,62,Male,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,72,Male,Medium,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,37,Male,High,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,5,Male,High,4,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for education,55,Female,Low,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,46,Female,Low,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,38,Male,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,49,Male,High,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,8,Female,High,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
starting a business,65,Male,Low,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,66,Male,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,62,Female,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,16,Male,Low,4,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
starting a business,61,Female,Low,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,66,Female,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,11,Male,Low,4,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for education,31,Female,Low,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,10,Male,High,2,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
purchasing for self,20,Female,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,14,Male,Low,5,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,52,Male,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,71,Female,Medium,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,29,Female,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,5,Female,Low,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
saving for education,14,Male,Low,2,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
starting a business,79,Male,High,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,51,Female,High,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,32,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,23,Female,High,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,6,Male,Medium,1,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
purchasing for self,73,Female,High,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,65,Female,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,75,Male,Medium,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,70,Female,Medium,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for education,40,Female,Medium,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,60,Male,High,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,36,Female,Low,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,12,Male,Low,4,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,35,Male,High,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,62,Male,Low,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,69,Male,Medium,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,62,Female,Low,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,58,Female,High,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,76,Female,Low,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,18,Male,Low,2,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for education,0,Male,Medium,3,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
saving for education,1,Female,Medium,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
starting a business,77,Female,Low,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,21,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,78,Female,High,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,13,Male,Low,1,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
buying a house,67,Male,Low,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,17,Female,High,4,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,5,Female,Low,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
buying a house,26,Female,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,63,Male,Low,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,27,Female,Low,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,41,Female,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,13,Male,Low,1,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
purchasing for self,45,Male,High,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,48,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,56,Female,Low,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,58,Female,High,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,17,Female,High,1,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
purchasing for self,77,Male,Medium,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,7,Female,Low,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
starting a business,26,Female,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,17,Male,Medium,4,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
planning a vacation,68,Female,Low,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,43,Female,Medium,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for education,47,Female,High,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,72,Female,Low,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,58,Female,Medium,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,27,Male,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,6,Male,Medium,1,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,7,Male,Medium,3,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
buying a house,53,Male,High,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,26,Female,High,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,75,Female,Low,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,37,Male,High,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,49,Female,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,20,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,56,Male,High,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for education,61,Female,Low,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,55,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,23,Male,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,57,Male,Low,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,9,Female,Low,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Mutual Funds, PPF, NPS"
buying a house,0,Female,Medium,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
saving for education,19,Female,Medium,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,71,Female,Medium,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,50,Female,Low,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,38,Male,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,67,Male,Medium,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,30,Female,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,37,Male,Low,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,56,Male,Low,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,5,Female,Low,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
saving for retirement,59,Male,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,80,Female,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,61,Male,Low,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,31,Male,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,70,Male,Medium,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,75,Female,Medium,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,17,Female,High,1,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
buying a house,31,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,31,Female,High,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,39,Male,Medium,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,50,Female,High,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,74,Male,High,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,38,Female,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,68,Female,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,39,Female,Medium,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,79,Male,Low,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,13,Male,Low,2,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
purchasing for self,35,Male,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,11,Male,Low,5,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,75,Male,High,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for education,54,Female,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,36,Female,High,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,75,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,51,Female,Low,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,34,Male,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,58,Female,Low,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,80,Male,Low,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,28,Female,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,9,Male,High,1,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
starting a business,8,Female,Low,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans"
buying a house,17,Male,High,1,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,25,Female,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,59,Female,Medium,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,59,Male,High,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,58,Male,High,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,18,Male,Low,3,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for education,12,Female,Medium,5,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
starting a business,1,Female,High,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans"
purchasing for self,27,Male,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,10,Male,High,3,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,67,Female,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,61,Male,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,16,Male,High,2,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
buying a house,27,Male,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,6,Male,Medium,1,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
purchasing for self,0,Female,Medium,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
buying a house,7,Female,Low,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
buying a house,25,Female,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,67,Female,Low,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,59,Female,Low,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,36,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,44,Female,Medium,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,72,Female,Low,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,38,Female,Low,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,42,Female,Low,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,36,Male,Low,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,68,Male,Low,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,13,Male,High,1,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
purchasing for self,13,Male,High,5,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
saving for education,41,Male,High,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,72,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,6,Male,Low,1,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
planning a vacation,12,Female,Medium,5,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
buying a house,3,Male,High,4,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,16,Female,High,3,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,5,Female,Medium,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
saving for retirement,40,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,55,Male,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,29,Male,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,53,Male,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,22,Male,Low,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,23,Male,Low,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,36,Female,High,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,59,Female,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,34,Female,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,70,Male,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,6,Female,High,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
buying a house,76,Female,Low,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,17,Male,High,4,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
purchasing for self,48,Female,Medium,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,37,Male,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,0,Female,Medium,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans"
